IMG_Genome_ID,Genome_Name,Lake,Taxonomy,Genome_Size,Est_Completeness,GC_Content,Codon_Usage,Amino_Acid_Bias,Gene_Count
2582580512,ME10020,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,2684295,65.53,0.5441,0.168827,1.723,2450
2582580513,ME10152,Mendota,Actinobacteria;Actinobacteria;Actinomycetales;;;,2093635,57.05,0.67,0.374611,1.67,2111
2582580514,ME10417,Mendota,Tenericutes;Mollicutes;Mycoplasmatales;;;,852268,83.91,0.3942,0.2853,1.636,895
2582580515,ME10739,Mendota,Proteobacteria;Betaproteobacteria;Burkholderiales;;;,2631188,84.01,0.5312,0.145344,1.731,2597
2582580516,ME10873,Mendota,Proteobacteria;Deltaproteobacteria;[Blank];;;,2235809,90.09,0.3494,0.289078,1.653,2076
2582580517,ME01091,Mendota,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,1782609,84.14,0.5383,0.184785,1.664,1845
2582580518,ME00112,Mendota,Cyanobacteria;[Blank];[Blank];;;,3123153,80.02,0.3721,0.305154,1.671,2941
2582580519,ME11260,Mendota,Bacteroidetes;Cytophagia;Cytophagales;;;,1580367,61.62,0.4124,0.207436,1.643,1537
2582580520,ME11576,Mendota,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,1204534,66.86,0.5984,0.232165,1.713,1337
2582580521,ME12173,Mendota,Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;;;,2103165,67.4,0.5194,0.209736,1.699,2043
2582580522,ME12555,Mendota,Planctomycetes;[Blank];[Blank];;;,3371651,89.36,0.6718,0.385592,1.77,2909
2582580523,ME12612,Mendota,Verrucomicrobia;[Blank];[Blank];;;,2234628,82.86,0.5945,0.307211,1.695,2301
2582580524,ME12657,Mendota,Verrucomicrobia;Opitutae;Puniceicoccales;;;,1945716,80.08,0.6782,0.478912,1.728,1792
2582580525,ME01300,Mendota,Cyanobacteria;[Blank];[Blank];;;,2333569,86.65,0.6878,0.468073,1.747,2527
2582580526,ME13165,Mendota,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,3312293,93.05,0.608,0.337541,1.689,2980
2582580527,ME13530,Mendota,Bacteroidetes;Flavobacteriia;Flavobacteriales;;;,2376430,88.56,0.341,0.297966,1.64,2194
2582580528,ME01363,Mendota,Actinobacteria;Actinobacteria;[Blank];;;,911592,62.71,0.4513,0.222708,1.624,950
2582580529,ME14003,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,3213612,70.74,0.5173,0.17071,1.706,2766
2582580530,ME14260,Mendota,Actinobacteria;Actinobacteria;Acidimicrobiales;;;,1498931,66.78,0.5083,0.180713,1.674,1599
2582580531,ME14445,Mendota,Cyanobacteria;[Blank];[Blank];;;,3309584,90.79,0.5768,0.258171,1.702,3116
2582580532,ME14726,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,2512767,87.12,0.4447,0.165805,1.649,2280
2582580533,ME15216,Mendota,Bacteroidetes;Sphingobacteriia;Sphingobacteriales;;;,2272733,67.04,0.4699,0.150075,1.669,2033
2582580536,ME15954,Mendota,Planctomycetes;Planctomycetia;Planctomycetales;;;,4122388,73.15,0.5207,0.154795,1.724,3377
