"","2007-06-07","2007-06-13","2007-06-27","2007-07-02","2007-07-12","2007-07-25","2007-07-31","2007-08-09","2007-08-20","2007-08-27","2007-09-17","2007-10-01","2007-10-16","2007-11-05","2007-11-14","2008-04-30","2008-05-22","2008-05-29","2008-06-13","2008-06-24","2008-07-01","2008-07-08","2008-07-15","2008-07-22","2008-07-29","2008-08-05","2008-08-12","2008-08-19","2008-08-25","2008-09-09","2008-09-20","2008-10-04","2008-10-23","2009-05-29","2009-06-03","2009-06-08","2009-06-23","2009-06-29","2009-07-07","2009-07-13","2009-07-21","2009-07-27","2009-08-03","2009-08-11","2009-08-18"
"2582859112",0,0,0,0,0,0,0,7,15,8,25,0,18,3,0,1,0,0,1,4,5,0,4,0,67,10,15,27,90,101,17,14,4,0,0,0,0,1,2,0,1,1,2,0,0
"2582858944",0,0,0,0,0,0,3,47,87,33,89,0,122,4,3,0,2,0,15,34,37,1,197,2,96,10,37,97,233,219,70,29,10,2,1,0,3,7,8,7,10,28,22,0,0
"2582858943",0,0,0,0,0,0,4,32,76,26,81,0,112,4,2,2,4,0,12,31,27,1,180,3,129,12,35,88,201,206,63,25,6,3,1,0,5,2,4,3,5,43,18,0,0
"2582980088",0,0,0,0,0,0,0,1,14,10,9,0,37,64,573,25,8,2,11,40,27,2,17,0,43,4,3,7,21,7,5,24,137,10,5,0,4,3,4,3,0,4,4,0,0
"2582980087",0,0,0,0,0,0,1,4,16,9,15,2,52,86,649,30,6,0,21,33,32,3,11,0,55,6,1,15,20,17,9,40,211,11,3,0,4,5,3,7,5,5,2,0,0
"2582980086",0,0,0,0,0,0,5,4,12,15,25,6,61,125,1027,45,11,4,20,41,29,3,24,0,74,10,1,21,30,12,10,53,350,17,11,0,4,4,8,4,7,10,11,0,0
"2582979757",0,0,0,0,0,0,0,0,2,2,14,1,18,59,642,11,2,0,1,1,5,1,8,0,10,0,2,2,6,1,2,10,54,3,1,0,2,2,4,0,2,0,4,0,0
"2595247635",0,0,0,0,0,0,26,65,20,30,27,3,23,16,15,1,0,0,3,11,11,0,23,0,88,24,5,8,14,19,15,9,26,46,54,3,0,6,16,20,1,1,7,0,0
"2595259764",0,0,0,0,0,0,26,66,20,30,27,3,23,16,15,1,0,0,3,11,11,0,23,0,89,24,5,8,14,19,15,9,26,46,54,3,0,6,16,20,1,1,7,0,0
"2582842071",0,0,0,0,0,0,2,2,2,9,10,1,53,83,520,25,3,1,16,14,19,3,6,0,15,3,0,9,22,6,0,47,174,9,3,0,2,3,2,1,6,3,4,0,0
"2582840403",0,0,0,0,0,0,6,4,17,22,29,7,72,146,1123,54,16,4,34,59,45,3,33,0,69,12,2,24,47,20,16,65,396,20,15,0,5,6,10,4,7,18,13,0,0
