2582647390	GT83.hmm	2.7e-111	8	482	10	497		0.877777777777778
2582647391	GT4.hmm	1.5e-26	7	148	185	321		0.88125
2582647410	CBM50.hmm	7.1e-14	2	40	31	73		0.95
2582647492	CBM48.hmm	1.4e-14	2	71	8	101		0.907894736842105
2582647492	GH13_11.hmm	3.7e-121	2	346	172	519		0.994219653179191
2582647497	GT30.hmm	5.7e-05	117	171	127	181		0.305084745762712
2582647497	GT4.hmm	2.3e-24	8	151	207	344		0.89375
2582647511	GT51.hmm	6.2e-41	9	167	180	334		0.892655367231638
2582647590	AA6.hmm	8.1e-06	8	143	13	148		0.692307692307692
2582647605	CBM2.hmm	4.6e-15	9	85	34	114		0.752475247524752
2582647605	CBM2.hmm	4.3e-15	9	85	163	243		0.752475247524752
2582647605	GH9.hmm	6e-121	2	418	284	736		0.995215311004785
2582647649	GT25.hmm	1e-12	1	180	3	191		0.988950276243094
2582647653	CBM50.hmm	1.3e-12	3	40	99	145		0.925
2582647731	GT2.hmm	2.7e-25	1	107	4	115		0.630952380952381
2582647731	GT27.hmm	5.5e-08	160	254	143	237		0.31864406779661
2582647770	CE7.hmm	3e-08	65	201	22	150		0.434504792332268
2582647830	GT2.hmm	9e-21	1	165	83	247		0.976190476190476
2582647857	CBM50.hmm	7.8e-07	4	37	46	78		0.825
2582647857	CBM50.hmm	0.0006	5	29	82	105		0.6
2582648012	GT5.hmm	8.6e-161	1	471	2	452		0.995762711864407
2582648199	SLH.hmm	1.8e-13	1	42	41	83		0.976190476190476
2582648340	GT35.hmm	2.8e-264	7	674	28	735		0.989614243323442
2582648477	GT2.hmm	5.7e-21	2	164	65	240		0.964285714285714
2582648485	GH109.hmm	2.1e-14	1	121	4	112		0.952380952380952
2582648486	GH15.hmm	2.5e-14	14	305	42	360		0.806094182825485
2582648487	GT26.hmm	1.7e-57	2	171	59	226		0.988304093567251
2582648493	CE1.hmm	1.6e-06	28	208	25	192		0.79295154185022
2582648499	GH77.hmm	4.1e-146	1	474	12	490		0.95748987854251
2582648536	GT2.hmm	1.4e-07	1	107	7	106		0.630952380952381
2582648552	GT4.hmm	1.4e-33	8	157	199	344		0.93125
2582648561	GT2.hmm	7.4e-28	1	168	106	276		0.994047619047619
2582648641	GT19.hmm	3.7e-112	1	341	11	352		0.96045197740113
2582648650	GT51.hmm	7e-52	2	177	157	335		0.988700564971751
2582648662	SLH.hmm	1.7e-11	1	42	47	89		0.976190476190476
2582648673	GT2.hmm	7e-15	4	112	7	106		0.642857142857143
2582648674	GH3.hmm	1.1e-58	4	216	72	303		0.981481481481482
