"","Cytophagales_2582580519","Flavobacteriales_2582580526","Flavobacteriales_2582580527","Sphingobacteriales_2582580532","Sphingobacteriales_2582580533","Sphingobacteriales_2582580535","Sphingobacteriales_2582580541","Flavobacteriales_2582580543","Sphingobacteriales_2582580548","Flavobacteriales_2582580549","Sphingobacteriales_2582580563","Flavobacteriales_2582580568","Sphingobacteriia_2582580571","Flavobacteriales_2582580580","Bacteroidetes_2582580582","Sphingobacteriia_2582580583","Sphingobacteriales_2582580585","Bacteroidetes_2582580586","Sphingobacteriales_2582580587","Sphingobacteriales_2582580588","Sphingobacteriales_2582580589","Sphingobacteriales_2582580590","Flavobacteriales_2582580592","Sphingobacteriales_2582580596","Flavobacteriales_2582580597","Bacteroidetes_2582580599","Sphingobacteriales_2582580601","Flavobacteriales_2582580602","Cytophagales_2582580603","Sphingobacteriales_2582580605","Sphingobacteriales_2582580610","Bacteroidetes_2582580613","Sphingobacteriales_2582580614"
"COG0001",1,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,1,0,1,0,0,0,1,0,1,2,0,1,1,0,1,0,0
"COG0002",2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
"COG0003",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG0004",1,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"COG0005",0,1,1,1,1,1,1,1,2,1,1,1,0,0,0,0,1,0,0,1,2,1,1,0,1,1,1,0,2,0,1,1,2
"COG0006",0,1,2,2,3,0,2,1,1,1,0,1,2,1,1,0,2,0,1,1,2,0,1,2,1,1,2,0,4,2,1,1,2
"COG0007",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"COG0008",1,2,2,2,2,2,0,2,1,2,1,0,0,1,1,1,1,0,2,3,0,1,2,2,2,1,1,1,2,2,2,1,1
"COG0009",3,2,3,1,2,1,1,2,1,2,3,2,1,1,1,2,2,0,1,1,3,1,2,2,2,2,2,0,2,0,2,2,2
"COG0010",0,3,2,4,2,1,2,3,3,3,1,3,3,3,3,1,0,3,3,3,3,1,3,3,3,4,3,1,2,4,3,3,2
"COG0011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"COG0012",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,2,1,0,1,1,0,1,1,0,1,0,1,1,1
"COG0013",0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1
"COG0014",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG0015",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,2,1,1,1
"COG0016",0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1
"COG0017",0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,0,1
"COG0018",1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,2
"COG0019",1,1,2,0,1,1,2,0,1,2,2,2,2,2,2,1,4,1,1,1,2,0,2,2,1,2,0,0,2,2,2,2,2
"COG0020",1,1,1,1,1,1,2,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1
"COG0021",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG0022",2,3,4,1,2,2,2,3,3,4,2,4,4,3,4,3,3,2,1,5,3,2,3,4,2,4,2,2,3,5,1,3,2
"COG0023",0,1,0,2,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1
"COG0024",0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"COG0025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"COG0026",1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
"COG0027",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
"COG0028",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1
"COG0029",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,1,1,0,0,1,0,0,0
"COG0030",0,1,1,2,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,2,1,1,1,1
"COG0031",1,1,2,1,2,1,0,1,0,3,0,0,1,1,1,1,2,1,1,1,0,0,2,1,0,1,1,0,0,0,0,0,0
"COG0033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG0034",0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1
"COG0035",0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,2,1,1,1
"COG0036",0,1,2,1,0,1,1,1,1,1,2,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"COG0037",1,0,1,2,1,1,2,1,1,0,1,1,0,0,1,0,2,0,0,1,0,1,1,1,0,2,1,0,1,1,1,1,1
"COG0038",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0
"COG0039",1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,2,1,0,1,1,1,1,0,1,1,1,1,1,1
"COG0040",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
"COG0041",1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1
"COG0042",0,1,1,0,2,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,2,1,0,1
"COG0043",0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,2,0,0,1,0,0,1,0,0,1,0,0,0
"COG0044",3,1,2,3,2,2,3,2,3,2,1,1,2,1,1,1,2,2,1,2,3,1,2,2,0,2,1,2,3,0,3,2,2
"COG0045",0,0,1,0,1,0,1,1,0,1,1,1,2,0,1,1,1,1,2,1,1,0,0,1,1,0,1,0,1,1,1,1,1
"COG0046",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1
"COG0047",1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
"COG0048",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,2,0,0,1,0,1,1,1,1,1,1,1,1
"COG0049",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,2,0,0,1,0,1,1,1,1,1,1,1,1
"COG0050",0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1
"COG0051",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1
"COG0052",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1
"COG0053",1,1,0,2,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1
"COG0054",1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,2,0,1,0,1,1,1
"COG0055",1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1
"COG0056",1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,2
"COG0057",0,2,2,1,0,0,1,3,1,3,2,3,1,0,1,1,0,1,2,1,0,0,3,1,2,2,1,0,1,1,3,1,1
"COG0058",0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1
"COG0059",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
"COG0060",0,1,1,1,1,1,0,1,1,1,0,2,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,2,0,1,1,0,1
"COG0061",1,1,0,1,1,1,2,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,2,1,1,1
"COG0062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
