Level1,Level2,Level3,Level4,Level5,Level6,Level7
Activation/Inactivation/Interconversion,Activation,acyl carrier protein activation,,,,
Activation/Inactivation/Interconversion,Activation,DIMBOA-glucoside activation,,,,
Activation/Inactivation/Interconversion,Activation,ecdysteroid metabolism (arthropods),,,,
Activation/Inactivation/Interconversion,Activation,glucosinolate breakdown,,,,
Activation/Inactivation/Interconversion,Activation,indole glucosinolate breakdown (active in intact plant cell),,,,
Activation/Inactivation/Interconversion,Activation,indole glucosinolate breakdown (insect chewing induced),,,,
Activation/Inactivation/Interconversion,Activation,indole-3-acetate activation I,,,,
Activation/Inactivation/Interconversion,Activation,indole-3-acetate activation II,,,,
Activation/Inactivation/Interconversion,Activation,long-chain fatty acid activation,,,,
Activation/Inactivation/Interconversion,Activation,sulfate activation for sulfonation,,,,
Activation/Inactivation/Interconversion,Inactivation,abscisic acid glucose ester metabolism,,,,
Activation/Inactivation/Interconversion,Inactivation,brassinosteroids inactivation,,,,
Activation/Inactivation/Interconversion,Inactivation,ecdysteroid metabolism (arthropods),,,,
Activation/Inactivation/Interconversion,Inactivation,gibberellin inactivation I (2beta-hydroxylation),,,,
Activation/Inactivation/Interconversion,Inactivation,gibberellin inactivation II (methylation),,,,
Activation/Inactivation/Interconversion,Inactivation,gibberellin inactivation III (epoxidation),,,,
Activation/Inactivation/Interconversion,Inactivation,indole-3-acetyl-amide conjugate biosynthesis,,,,
Activation/Inactivation/Interconversion,Inactivation,indole-3-acetyl-ester conjugate biosynthesis,,,,
Activation/Inactivation/Interconversion,Inactivation,superpathway of indole-3-acetate conjugate biosynthesis,,,,
Activation/Inactivation/Interconversion,Interconversions,acyl carrier protein metabolism,,,,
Activation/Inactivation/Interconversion,Interconversions,afrormosin conjugates interconversion,,,,
Activation/Inactivation/Interconversion,Interconversions,"arginine, ornithine and proline interconversion",,,,
Activation/Inactivation/Interconversion,Interconversions,biochanin A conjugates interconversion,,,,
Activation/Inactivation/Interconversion,Interconversions,cichoriin interconversion,,,,
Activation/Inactivation/Interconversion,Interconversions,daidzein conjugates interconversion,,,,
Activation/Inactivation/Interconversion,Interconversions,daphnin interconversion,,,,
Activation/Inactivation/Interconversion,Interconversions,formononetin conjugates interconversion,,,,
Activation/Inactivation/Interconversion,Interconversions,genistein conjugates interconversion,,,,
Activation/Inactivation/Interconversion,Interconversions,geranyl acetate biosynthesis,,,,
Activation/Inactivation/Interconversion,Interconversions,L-homocysteine and L-cysteine interconversion,,,,
Activation/Inactivation/Interconversion,Interconversions,maackiain conjugates interconversion,,,,
Activation/Inactivation/Interconversion,Interconversions,medicarpin conjugates interconversion,,,,
Activation/Inactivation/Interconversion,Interconversions,methyl indole-3-acetate interconversion,,,,
Activation/Inactivation/Interconversion,Interconversions,oleandomycin activation/inactivation,,,,
Activation/Inactivation/Interconversion,Interconversions,phenylethyl acetate biosynthesis,,,,
Activation/Inactivation/Interconversion,Interconversions,UDP-sugars interconversion,,,,
Activation/Inactivation/Interconversion,Interconversions,"zeaxanthin, antheraxanthin and violaxanthin interconversion",,,,
Bioluminescence,bacterial bioluminescence,,,,,
Biosynthesis,Amines and Polyamines Biosynthesis,Betaine Biosynthesis,beta-alanine betaine biosynthesis,,,
Biosynthesis,Amines and Polyamines Biosynthesis,Betaine Biosynthesis,choline degradation I,,,
Biosynthesis,Amines and Polyamines Biosynthesis,Betaine Biosynthesis,choline-O-sulfate degradation,,,
Biosynthesis,Amines and Polyamines Biosynthesis,Betaine Biosynthesis,glycine betaine biosynthesis I (Gram-negative bacteria),,,
Biosynthesis,Amines and Polyamines Biosynthesis,Betaine Biosynthesis,glycine betaine biosynthesis II (Gram-positive bacteria),,,
Biosynthesis,Amines and Polyamines Biosynthesis,Betaine Biosynthesis,glycine betaine biosynthesis III (plants),,,
Biosynthesis,Amines and Polyamines Biosynthesis,Betaine Biosynthesis,glycine betaine biosynthesis IV (from glycine),,,
Biosynthesis,Amines and Polyamines Biosynthesis,Betaine Biosynthesis,glycine betaine biosynthesis V (from glycine),,,
Biosynthesis,Amines and Polyamines Biosynthesis,Putrescine Biosynthesis,putrescine biosynthesis I,,,
Biosynthesis,Amines and Polyamines Biosynthesis,Putrescine Biosynthesis,putrescine biosynthesis II,,,
Biosynthesis,Amines and Polyamines Biosynthesis,Putrescine Biosynthesis,putrescine biosynthesis III,,,
Biosynthesis,Amines and Polyamines Biosynthesis,Putrescine Biosynthesis,putrescine biosynthesis IV,,,
Biosynthesis,Amines and Polyamines Biosynthesis,Spermidine Biosynthesis,spermidine biosynthesis I,,,
Biosynthesis,Amines and Polyamines Biosynthesis,Spermidine Biosynthesis,spermidine biosynthesis II,,,
Biosynthesis,Amines and Polyamines Biosynthesis,Spermidine Biosynthesis,spermidine biosynthesis III,,,
Biosynthesis,Amines and Polyamines Biosynthesis,UDP-N-acetyl-D-galactosamine Biosynthesis,UDP-N-acetyl-D-galactosamine biosynthesis I,,,
Biosynthesis,Amines and Polyamines Biosynthesis,UDP-N-acetyl-D-galactosamine Biosynthesis,UDP-N-acetyl-D-galactosamine biosynthesis II,,,
Biosynthesis,Amines and Polyamines Biosynthesis,UDP-N-acetyl-D-glucosamine Biosynthesis,UDP-N-acetyl-D-glucosamine biosynthesis I,,,
Biosynthesis,Amines and Polyamines Biosynthesis,UDP-N-acetyl-D-glucosamine Biosynthesis,UDP-N-acetyl-D-glucosamine biosynthesis II,,,
Biosynthesis,Amines and Polyamines Biosynthesis,aminopropylcadaverine biosynthesis,,,,
Biosynthesis,Amines and Polyamines Biosynthesis,creatine biosynthesis,,,,
Biosynthesis,Amines and Polyamines Biosynthesis,creatine-phosphate biosynthesis,,,,
Biosynthesis,Amines and Polyamines Biosynthesis,ectoine biosynthesis,,,,
Biosynthesis,Amines and Polyamines Biosynthesis,glutathionylspermidine biosynthesis,,,,
Biosynthesis,Amines and Polyamines Biosynthesis,histamine biosynthesis,,,,
Biosynthesis,Amines and Polyamines Biosynthesis,homospermidine biosynthesis,,,,
Biosynthesis,Amines and Polyamines Biosynthesis,L-arginine degradation III (arginine decarboxylase/agmatinase pathway),,,,
Biosynthesis,Amines and Polyamines Biosynthesis,norspermidine biosynthesis,,,,
Biosynthesis,Amines and Polyamines Biosynthesis,octopamine biosynthesis,,,,
Biosynthesis,Amines and Polyamines Biosynthesis,serinol biosynthesis,,,,
Biosynthesis,Amines and Polyamines Biosynthesis,spermine biosynthesis,,,,
Biosynthesis,Amines and Polyamines Biosynthesis,superpathway of arginine and polyamine biosynthesis,,,,
Biosynthesis,Amines and Polyamines Biosynthesis,superpathway of polyamine biosynthesis I,,,,
Biosynthesis,Amines and Polyamines Biosynthesis,superpathway of polyamine biosynthesis II,,,,
Biosynthesis,Amines and Polyamines Biosynthesis,superpathway of polyamine biosynthesis III,,,,
