HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH13_8.hmm	274	2582643199_1_2025_+	674	8.2e-116	1	274	232	522	0.996350364964
GT51.hmm	177	2582643287_1_1635_+	544	3.3e-59	9	177	55	223	0.949152542373
CE4.hmm	130	2582643314_1_744_+	247	5.9e-32	9	117	46	156	0.830769230769
GH77.hmm	494	2582643335_1_2658_+	885	2.9e-145	1	489	243	880	0.987854251012
GT51.hmm	177	2582643371_1_2355_+	784	1.1e-54	2	177	98	287	0.988700564972
GT26.hmm	171	2582643511_1_768_+	255	6.1e-56	3	171	58	233	0.982456140351
GT4.hmm	160	2582643539_1_1293_+	430	7.2e-29	7	152	238	391	0.90625
GH109.hmm	126	2582643727_1_1134_+	377	5.7e-17	2	121	1	118	0.944444444444
AA7.hmm	458	2582643812_1_1365_+	454	4.6e-21	10	202	31	232	0.419213973799
CBM38.hmm	129	2582643909_1_3717_+	1238	9.9e-26	4	128	27	150	0.961240310078
GH1.hmm	429	2582644021_1_1704_+	567	7.8e-57	4	219	19	240	0.501165501166
AA4.hmm	522	2582644023_1_1386_+	461	3.9e-22	51	239	38	219	0.360153256705
GH57.hmm	383	2582644073_1_930_+	309	7.1e-58	2	307	6	301	0.79634464752
GH13_38.hmm	376	2582644096_1_1455_+	484	2e-116	1	373	36	409	0.989361702128
CE10.hmm	341	2582644241_1_837_+	278	3.1e-37	66	333	22	266	0.782991202346
CE1.hmm	227	2582644252_1_747_+	248	1e-25	8	208	31	226	0.881057268722
CE11.hmm	271	2582644326_1_1308_+	435	7.4e-96	1	270	4	273	0.992619926199
GT30.hmm	177	2582644328_1_1290_+	429	1.7e-50	3	175	39	217	0.971751412429
GT2_Glycos_transf_2.hmm	170	2582644380_1_918_+	305	1.9e-18	2	165	9	174	0.958823529412
GT2_Glycos_transf_2.hmm	170	2582644381_1_801_+	266	8.7e-25	1	147	6	145	0.858823529412
GT11.hmm	276	2582644385_1_513_+	170	2.7e-42	117	259	3	147	0.514492753623
GT28.hmm	157	2582644498_1_1095_+	364	3.3e-56	1	157	191	350	0.993630573248
CE4.hmm	130	2582644611_1_894_+	297	3.9e-25	5	124	99	234	0.915384615385
GH63.hmm	570	2582644708_1_2688_+	895	3e-19	364	567	433	884	0.356140350877
GH77.hmm	494	2582644709_1_1698_+	565	3.4e-120	2	482	9	556	0.971659919028
GT5.hmm	472	2582644753_1_1581_+	526	4.1e-108	1	472	11	497	0.997881355932
GT28.hmm	157	2582644956_1_1119_+	372	1.4e-18	20	155	219	353	0.859872611465
GT35.hmm	674	2582645148_1_1665_+	554	1.3e-66	209	557	181	484	0.516320474777
GH57.hmm	383	2582645175_1_1152_+	383	1.9e-57	2	310	6	304	0.804177545692
GT4.hmm	160	2582645404_1_2004_+	667	2.9e-28	6	145	191	324	0.86875
