HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT19.hmm	354	2582937671_1_1128_+	375	2.1e-116	2	347	6	353	0.974576271186
GT2_Glyco_tranf_2_3.hmm	230	2582937805_1_1434_+	477	1e-21	4	230	61	326	0.982608695652
CE11.hmm	271	2582937821_1_909_+	302	9.7e-96	2	270	8	273	0.988929889299
GT81.hmm	293	2582937915_1_942_+	313	1.6e-18	22	216	8	186	0.662116040956
GT5.hmm	472	2582938008_1_1434_+	477	9.7e-159	1	471	2	470	0.995762711864
CE7.hmm	313	2582938132_1_864_+	287	1.4e-16	44	198	15	161	0.492012779553
GT2_Glycos_transf_2.hmm	170	2582938172_1_1890_+	629	6.1e-23	1	167	8	181	0.976470588235
GT9.hmm	225	2582938297_1_1089_+	362	6.8e-35	2	215	96	335	0.946666666667
GT4.hmm	160	2582938318_1_1110_+	369	1.8e-35	5	159	187	338	0.9625
AA3.hmm	618	2582938355_1_1602_+	533	1.2e-46	89	402	2	527	0.506472491909
AA6.hmm	195	2582938380_1_552_+	183	2.2e-48	2	193	4	176	0.979487179487
GT9.hmm	225	2582938582_1_993_+	330	6.5e-34	7	220	76	310	0.946666666667
GT2_Glyco_tranf_2_3.hmm	230	2582938618_1_1527_+	508	1e-27	4	228	54	280	0.973913043478
GT28.hmm	157	2582938636_1_1089_+	362	2.2e-41	2	146	193	341	0.917197452229
CE4.hmm	130	2582938684_1_1374_+	457	5.2e-22	4	116	248	373	0.861538461538
GT30.hmm	177	2582938919_1_1248_+	415	3.9e-36	3	176	30	205	0.977401129944
GH130.hmm	296	2582938986_1_1458_+	485	1.3e-56	52	293	242	481	0.814189189189
GH13.hmm	299	2582939064_16_4335_+	1439	6.8e-22	13	288	163	446	0.919732441472
CBM48.hmm	76	2582939065_1_1920_+	639	1.9e-21	2	70	29	115	0.894736842105
GH13_9.hmm	291	2582939065_1_1920_+	639	5.1e-135	2	290	184	483	0.989690721649
GT35.hmm	674	2582939066_1_2127_+	708	5.7e-124	21	573	112	636	0.818991097923
CE10.hmm	341	2582939110_1_1020_+	339	9.1e-25	66	338	76	339	0.797653958944
GT2_Glycos_transf_2.hmm	170	2582939146_1_672_+	223	6.4e-22	2	168	5	164	0.976470588235
CE14.hmm	124	2582939223_1_1614_+	537	1.1e-21	1	116	46	160	0.927419354839
GT51.hmm	177	2582939305_1_2484_+	827	9.9e-63	2	176	68	247	0.983050847458
GT51.hmm	177	2582939484_1_717_+	238	2.4e-58	10	177	59	225	0.943502824859
GT2_Glycos_transf_2.hmm	170	2582939528_1_951_+	316	5.5e-35	1	166	6	171	0.970588235294
GH23.hmm	135	2582939593_1_1938_+	645	6e-24	14	118	191	312	0.77037037037
CE14.hmm	124	2582939661_1_489_+	162	2.1e-22	1	124	10	114	0.991935483871
GH3.hmm	216	2582939707_1_1011_+	336	2.4e-24	8	214	61	273	0.953703703704
AA7.hmm	458	2582939763_1_1503_+	500	7.6e-19	12	261	54	310	0.543668122271
GT9.hmm	225	2582939791_1_966_+	321	2.2e-50	4	218	71	297	0.951111111111
GT4.hmm	160	2582939792_1_1062_+	353	2.5e-18	7	135	181	311	0.8
AA4.hmm	522	2582939814_1_1401_+	466	2.4e-23	16	246	5	224	0.44061302682
GT83.hmm	540	2582939897_1_1437_+	478	2.4e-85	7	479	3	474	0.874074074074
CE10.hmm	341	2582939971_1_2079_+	692	8.6e-19	67	316	417	654	0.730205278592
GT35.hmm	674	2582939984_1_1545_+	514	8.7e-175	192	673	1	506	0.713649851632
CE1.hmm	227	2582940008_1_1863_+	620	3.3e-24	10	179	376	574	0.74449339207
GH23.hmm	135	2582940024_1_849_+	282	6.2e-33	18	125	104	210	0.792592592593
CE4.hmm	130	2582940145_1_1461_+	486	1.8e-29	7	124	251	378	0.9
GT4.hmm	160	2582940335_1_1263_+	420	2.8e-30	11	153	243	386	0.8875
GT83.hmm	540	2582940452_1_1752_+	583	3.2e-77	15	488	14	533	0.875925925926
GT9.hmm	225	2582940453_1_1020_+	339	2.5e-39	15	220	81	311	0.911111111111
