HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2_Glycos_transf_2.hmm	170	2582788298_1_789_+	262	7.3e-19	6	93	37	116	0.511764705882
GH1.hmm	429	2582788351_1_1497_+	498	6.5e-124	4	428	30	496	0.988344988345
GH23.hmm	135	2582788359_1_708_+	235	2.1e-32	14	126	115	226	0.82962962963
GT51.hmm	177	2582788713_1_2187_+	728	1.4e-59	9	176	71	240	0.943502824859
GT26.hmm	171	2582788763_1_792_+	263	7.8e-43	2	170	64	244	0.982456140351
GT19.hmm	354	2582788839_1_1242_+	413	4.9e-91	1	352	7	394	0.991525423729
GT4.hmm	160	2582789025_1_1257_+	418	7.9e-32	8	135	225	350	0.79375
GT30.hmm	177	2582789176_1_1323_+	440	5.6e-52	3	175	35	211	0.971751412429
GT83.hmm	540	2582789290_1_1689_+	562	8.8e-96	9	427	5	440	0.774074074074
GT2_Glycos_transf_2.hmm	170	2582789333_1_813_+	270	4.2e-19	1	108	9	106	0.629411764706
GT28.hmm	157	2582789412_1_1212_+	403	3.2e-37	2	156	206	391	0.980891719745
GT83.hmm	540	2582789444_1_1842_+	613	1.4e-18	31	366	5	387	0.62037037037
GH31.hmm	427	2582789497_1_2613_+	870	3.2e-109	1	427	271	751	0.997658079625
GT2_Glycos_transf_2.hmm	170	2582789515_1_999_+	332	3.6e-30	1	130	16	145	0.758823529412
GT2_Glycos_transf_2.hmm	170	2582789527_1_1005_+	334	1.7e-36	1	130	8	135	0.758823529412
GH24.hmm	137	2582789530_1_1074_+	357	3.2e-23	2	137	204	338	0.985401459854
CE11.hmm	271	2582789626_1_870_+	289	1.5e-47	6	270	9	287	0.974169741697
GT2_Glycos_transf_2.hmm	170	2582789656_1_1113_+	370	7.5e-23	1	106	5	115	0.617647058824
GH3.hmm	216	2582789657_1_1611_+	536	1.4e-46	7	215	56	300	0.962962962963
GH133.hmm	372	2582789686_1_2028_+	675	2.4e-107	7	371	302	667	0.978494623656
GT4.hmm	160	2582789687_1_1314_+	437	4.6e-33	6	158	255	404	0.95
GH57.hmm	383	2582789688_1_1203_+	400	4.1e-64	2	304	6	318	0.788511749347
GT3.hmm	637	2582789689_1_3765_+	1254	6.4e-91	1	349	6	340	0.546310832025
GT35.hmm	674	2582789689_1_3765_+	1254	1.2e-111	21	552	677	1163	0.787833827893
GH23.hmm	135	2582789695_1_2112_+	703	1.5e-24	16	121	570	695	0.777777777778
GT9.hmm	225	2582789724_1_687_+	228	7.2e-23	51	215	10	201	0.728888888889
CE9.hmm	373	2582789839_1_951_+	316	1.6e-38	51	279	1	272	0.611260053619
GT9.hmm	225	2582789843_1_1062_+	353	6.5e-28	3	212	68	325	0.928888888889
GH109.hmm	126	2582789881_1_933_+	310	2.6e-17	2	124	2	113	0.968253968254
GT2_Glyco_tranf_2_3.hmm	230	2582789884_1_1353_+	450	4.7e-32	4	228	93	315	0.973913043478
GT2_Glycos_transf_2.hmm	170	2582789893_1_933_+	310	2.2e-27	2	167	6	171	0.970588235294
GT41.hmm	705	2582790049_1_1878_+	625	2.2e-105	65	528	77	621	0.656737588652
GT41.hmm	705	2582790057_1_1731_+	576	6.5e-98	55	519	10	572	0.658156028369
GT41.hmm	705	2582790058_1_2115_+	704	3.5e-98	115	522	216	703	0.577304964539
GT41.hmm	705	2582790059_1_2022_+	673	2.8e-102	115	520	195	664	0.574468085106
