HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH102.hmm	157	2582972259_1_1197_+	398	6.9e-60	1	157	140	296	0.993630573248
CE4.hmm	130	2582972260_1_900_+	299	1.1e-30	4	125	86	208	0.930769230769
GT51.hmm	177	2582972262_1_696_+	231	1.2e-61	12	177	61	226	0.932203389831
GH113.hmm	306	2582972349_1_924_+	307	1.4e-70	2	305	3	298	0.990196078431
GT2_Glyco_tranf_2_3.hmm	230	2582972351_1_915_+	304	1.1e-18	87	229	4	148	0.617391304348
GH102.hmm	157	2582972390_1_1269_+	422	4.8e-62	1	157	162	318	0.993630573248
GT28.hmm	157	2582972457_1_1071_+	356	5.4e-53	2	157	184	343	0.987261146497
GT104.hmm	379	2582972487_1_1155_+	384	2.4e-128	2	376	1	375	0.986807387863
AA7.hmm	458	2582972552_1_1410_+	469	2.8e-23	7	192	32	229	0.403930131004
GT51.hmm	177	2582972630_1_2307_+	768	3.3e-68	2	177	57	232	0.988700564972
GH23.hmm	135	2582972669_1_1995_+	664	2.4e-23	14	121	490	616	0.792592592593
GT2_Glycos_transf_2.hmm	170	2582972715_1_1017_+	338	2.2e-16	1	148	15	168	0.864705882353
GT2_Glycos_transf_2.hmm	170	2582972719_1_819_+	272	9.7e-31	1	115	10	123	0.670588235294
GH103.hmm	295	2582973055_1_993_+	330	6.1e-98	10	294	34	314	0.962711864407
GH19.hmm	231	2582973064_1_2832_+	943	1.9e-18	57	147	124	217	0.38961038961
CE4.hmm	130	2582973238_1_792_+	263	1.8e-24	6	123	85	217	0.9
GT2_Glycos_transf_2.hmm	170	2582973416_1_747_+	248	2.8e-18	2	135	8	138	0.782352941176
CE4.hmm	130	2582973417_1_813_+	270	7.2e-27	7	124	74	194	0.9
GH23.hmm	135	2582973433_1_1467_+	488	9.6e-22	13	124	288	438	0.822222222222
GT4.hmm	160	2582973453_1_1224_+	407	1.1e-36	4	158	199	353	0.9625
CE7.hmm	313	2582973456_1_1080_+	359	5.2e-57	5	306	56	344	0.961661341853
GH77.hmm	494	2582973527_1_1512_+	503	3.7e-167	1	471	11	476	0.951417004049
GH57.hmm	383	2582973528_1_1710_+	569	6.6e-95	1	316	8	477	0.822454308094
CBM48.hmm	76	2582973530_1_2160_+	719	5.1e-20	3	70	115	200	0.881578947368
GH13_9.hmm	291	2582973530_1_2160_+	719	2.4e-139	1	290	268	568	0.993127147766
GT2_Glycos_transf_2.hmm	170	2582973551_1_876_+	291	1.1e-20	2	167	9	165	0.970588235294
GT26.hmm	171	2582973554_1_1437_+	478	3e-67	2	171	284	453	0.988304093567
GH9.hmm	418	2582973555_67_2343_+	758	1.1e-60	40	418	317	745	0.904306220096
GT4.hmm	160	2582973560_1_1149_+	382	2.3e-40	10	157	201	349	0.91875
GT4.hmm	160	2582973561_1_1164_+	387	9.1e-36	6	157	208	357	0.94375
GT4.hmm	160	2582973562_1_1224_+	407	3.3e-37	8	159	223	379	0.94375
GH23.hmm	135	2582973577_1_1347_+	448	8e-22	2	124	119	258	0.903703703704
GH3.hmm	216	2582973794_1_960_+	319	1.5e-54	9	216	27	252	0.958333333333
GT35.hmm	674	2582973822_1_1695_+	564	5.2e-116	21	555	26	496	0.792284866469
GT35.hmm	674	2582973976_1_2472_+	823	4.9e-291	2	674	105	819	0.99703264095
GT5.hmm	472	2582973978_1_1455_+	484	1.6e-173	1	472	5	480	0.997881355932
GH23.hmm	135	2582974068_1_687_+	228	4.5e-18	11	113	111	201	0.755555555556
GT19.hmm	354	2582974411_1_1143_+	380	1.3e-133	1	353	6	364	0.994350282486
GH8.hmm	320	2582974489_1_1119_+	372	6.2e-85	1	319	27	350	0.99375
GH8.hmm	320	2582974497_1_1146_+	381	6.8e-79	1	319	26	356	0.99375
GT2_Glycos_transf_2.hmm	170	2582974499_1_2430_+	809	2.7e-34	1	169	179	349	0.988235294118
AA6.hmm	195	2582974540_1_603_+	200	1e-66	2	194	7	196	0.984615384615
GT83.hmm	540	2582974544_1_1647_+	548	4.8e-56	9	440	16	458	0.798148148148
CE11.hmm	271	2582974609_1_936_+	311	2.6e-117	1	270	12	283	0.992619926199
GT30.hmm	177	2582974633_1_1263_+	420	4.4e-67	3	176	34	212	0.977401129944
GT83.hmm	540	2582974637_1_1398_+	465	3.7e-30	13	366	9	370	0.653703703704
GT2_Glycos_transf_2.hmm	170	2582974642_1_948_+	315	3e-27	1	167	9	169	0.976470588235
GT4.hmm	160	2582974644_1_1050_+	349	6.3e-18	6	145	181	312	0.86875
GT2_Glycos_transf_2.hmm	170	2582974645_1_816_+	271	7.8e-22	2	97	6	102	0.558823529412
GT2_Glycos_transf_2.hmm	170	2582974646_1_753_+	250	1.1e-21	1	138	5	131	0.805882352941
GT9.hmm	225	2582974650_1_1083_+	360	4.5e-40	4	218	76	319	0.951111111111
GT83.hmm	540	2582974829_1_1704_+	567	3.5e-135	4	537	19	555	0.987037037037
GT2_Glycos_transf_2.hmm	170	2582974840_1_987_+	328	7.5e-28	1	162	7	163	0.947058823529
