HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2_Glycos_transf_2.hmm	170	2582862618_1_717_+	238	1.4e-24	2	169	8	170	0.982352941176
GH13_30.hmm	369	2582862703_1_1662_+	553	1e-157	1	369	34	396	0.9972899729
CE14.hmm	124	2582862746_1_906_+	301	1e-45	1	124	10	150	0.991935483871
GT2_Glycos_transf_2.hmm	170	2582862762_1_450_+	149	1.6e-21	1	126	16	140	0.735294117647
CE14.hmm	124	2582862786_1_726_+	241	1.6e-30	1	117	13	120	0.935483870968
CE1.hmm	227	2582862878_1_843_+	280	4e-21	8	221	24	275	0.938325991189
GH13.hmm	299	2582862879_1_2085_+	694	1.4e-60	11	296	74	447	0.953177257525
GH13_30.hmm	369	2582862950_1_1611_+	536	5.9e-127	1	312	29	349	0.842818428184
CE9.hmm	373	2582863020_1_879_+	292	1.5e-99	49	333	3	283	0.761394101877
CE1.hmm	227	2582863024_1_936_+	311	5.6e-24	7	143	54	222	0.599118942731
GH2.hmm	752	2582863133_1_1986_+	661	5e-156	14	515	10	654	0.666223404255
GT28.hmm	157	2582863173_1_1071_+	356	2.8e-37	1	148	190	334	0.936305732484
GT39.hmm	223	2582863263_1_1362_+	453	3.2e-66	3	223	21	240	0.986547085202
GH13_3.hmm	238	2582863292_1_1449_+	482	2.8e-121	3	237	44	278	0.983193277311
GH13_9.hmm	291	2582863294_1_1707_+	568	1.1e-139	2	290	120	419	0.989690721649
CBM48.hmm	76	2582863295_1_2133_+	710	1.6e-16	3	69	9	98	0.868421052632
GH13_11.hmm	346	2582863295_1_2133_+	710	3e-124	1	346	181	530	0.99710982659
GT5.hmm	472	2582863299_1_1146_+	381	1.1e-31	112	471	67	377	0.760593220339
GH18.hmm	296	2582863323_1_1620_+	539	4.3e-43	51	282	49	341	0.780405405405
GH1.hmm	429	2582863356_1_1368_+	455	1.3e-163	3	428	2	454	0.990675990676
GT4.hmm	160	2582863385_1_1098_+	365	1.3e-34	5	140	220	364	0.84375
GT4.hmm	160	2582863387_1_1128_+	375	4e-28	7	154	194	330	0.91875
GT4.hmm	160	2582863388_1_1173_+	390	1.1e-21	9	155	200	345	0.9125
GT4.hmm	160	2582863454_1_1176_+	391	1.7e-29	12	154	197	339	0.8875
AA3.hmm	618	2582863479_1_1647_+	548	2.2e-104	88	402	3	535	0.508090614887
GH13_3.hmm	238	2582863553_1_891_+	296	3.3e-80	3	166	133	296	0.68487394958
GH25.hmm	177	2582863575_1_1005_+	334	6.6e-32	1	172	40	258	0.966101694915
GT2_Glycos_transf_2.hmm	170	2582863609_1_1074_+	357	4.1e-18	1	164	38	203	0.958823529412
GH4.hmm	179	2582863630_1_1284_+	427	7.4e-62	1	178	2	179	0.988826815642
GH84.hmm	295	2582863632_1_1641_+	546	8.1e-90	1	291	100	399	0.983050847458
CE4.hmm	130	2582863711_1_711_+	236	4.4e-21	5	126	45	165	0.930769230769
GT4.hmm	160	2582863758_1_1143_+	380	6.6e-40	7	159	194	353	0.95
GH36.hmm	688	2582863814_1_1626_+	541	3.6e-79	167	671	13	496	0.732558139535
GH125.hmm	402	2582863815_1_1359_+	452	4e-146	2	402	41	438	0.995024875622
AA3.hmm	618	2582863887_1_1692_+	563	5.2e-51	84	404	4	529	0.517799352751
GH25.hmm	177	2582863930_1_1098_+	365	2.6e-27	2	173	85	304	0.966101694915
GT51.hmm	177	2582863946_1_1989_+	662	1.6e-64	1	177	59	237	0.994350282486
