HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH13_3.hmm	238	2582826158_1_1746_+	581	1.4e-115	4	238	139	373	0.983193277311
GH13_9.hmm	291	2582826159_1_1941_+	646	6.9e-138	2	290	198	497	0.989690721649
GH25.hmm	177	2582826274_1_1620_+	539	3e-31	2	172	147	364	0.960451977401
GT2_Glycos_transf_2.hmm	170	2582826339_1_1089_+	362	3.2e-23	1	165	42	210	0.964705882353
GT4.hmm	160	2582826358_1_1140_+	379	1.7e-34	10	158	193	349	0.925
GT28.hmm	157	2582826400_1_1089_+	362	3.7e-37	2	143	195	335	0.898089171975
GT2_Glyco_tranf_2_3.hmm	230	2582826421_1_3078_+	1025	2.9e-19	5	218	10	232	0.926086956522
CE14.hmm	124	2582826428_1_864_+	287	5e-44	1	124	7	147	0.991935483871
GT4.hmm	160	2582826547_1_1152_+	383	1.8e-43	8	160	196	355	0.95
GH36.hmm	688	2582826583_1_2121_+	706	4.8e-206	3	673	15	656	0.973837209302
CE14.hmm	124	2582826615_1_723_+	240	2.1e-27	1	117	13	120	0.935483870968
CE9.hmm	373	2582826628_1_1083_+	360	7.2e-100	4	373	6	356	0.98927613941
GH13_30.hmm	369	2582826654_1_1641_+	546	2.4e-134	1	314	26	353	0.848238482385
GT4.hmm	160	2582826705_1_1173_+	390	2.8e-35	10	156	189	335	0.9125
GH13.hmm	299	2582826733_1_1950_+	649	6.3e-59	4	293	62	406	0.966555183946
GH13_21.hmm	322	2582826734_1_1824_+	607	3.3e-67	3	317	176	492	0.975155279503
GH13_30.hmm	369	2582826780_1_1707_+	568	5.1e-161	1	369	36	409	0.9972899729
GT51.hmm	177	2582826934_1_2034_+	677	1.8e-61	2	177	55	232	0.988700564972
GT4.hmm	160	2582826940_1_1272_+	423	3.3e-37	2	154	219	380	0.95
GT2_Glyco_tranf_2_3.hmm	230	2582826969_1_3078_+	1025	3.4e-19	5	218	10	232	0.926086956522
