HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH109.hmm	126	2582808641_1_1374_+	457	8.3e-24	1	123	45	159	0.968253968254
GT2_Glycos_transf_2.hmm	170	2582808659_1_759_+	252	5.5e-28	2	168	6	171	0.976470588235
GH92.hmm	491	2582808693_1_2157_+	718	1.5e-171	2	490	228	715	0.993890020367
GH13.hmm	299	2582808698_1_792_+	263	2.6e-38	11	225	43	257	0.715719063545
GT2_Glycos_transf_2.hmm	170	2582808704_103_924_+	273	4.6e-16	32	144	2	114	0.658823529412
CE10.hmm	341	2582808712_1_2373_+	790	9.7e-24	76	316	545	773	0.703812316716
GH29.hmm	346	2582808727_1_1449_+	482	2e-107	22	346	21	393	0.936416184971
GH130.hmm	296	2582808775_1_978_+	325	1.8e-84	13	285	15	324	0.918918918919
CE10.hmm	341	2582808778_1_903_+	300	7e-41	61	321	41	284	0.762463343109
GH13.hmm	299	2582808784_1_1281_+	426	8.2e-55	10	287	23	301	0.926421404682
GT4.hmm	160	2582808791_1_1248_+	415	3.8e-27	9	159	233	385	0.9375
GT4.hmm	160	2582808793_1_1074_+	357	1.3e-19	10	158	168	327	0.925
CE1.hmm	227	2582808799_1_729_+	242	2.5e-18	71	220	73	238	0.656387665198
CE14.hmm	124	2582808830_1_738_+	245	4.8e-22	1	124	6	111	0.991935483871
GT2_Glycos_transf_2.hmm	170	2582808841_1_1047_+	348	6.5e-23	2	114	8	116	0.658823529412
GT4.hmm	160	2582808861_1_1203_+	400	2e-21	10	152	227	363	0.8875
GT5.hmm	472	2582808919_1_816_+	271	5.1e-46	1	212	6	228	0.447033898305
GT4.hmm	160	2582808957_1_1122_+	373	4.7e-32	7	157	193	343	0.9375
GT4.hmm	160	2582808989_1_735_+	244	1.8e-19	12	124	72	184	0.7
GT2_Glycos_transf_2.hmm	170	2582808991_1_756_+	251	6e-26	1	154	5	148	0.9
GH3.hmm	216	2582809036_1_2916_+	971	6.2e-57	7	215	102	325	0.962962962963
GH43_28.hmm	258	2582809067_1_1734_+	577	1.4e-105	2	258	50	317	0.992248062016
CBM32.hmm	124	2582809067_1_1734_+	577	6.6e-24	10	109	359	471	0.798387096774
GT83.hmm	540	2582809084_1_1638_+	545	3.5e-32	15	363	15	335	0.644444444444
GT51.hmm	177	2582809085_1_681_+	226	1.6e-55	12	176	47	211	0.926553672316
GT2_Glycos_transf_2.hmm	170	2582809089_1_1941_+	646	1.8e-22	1	166	3	185	0.970588235294
GH95.hmm	722	2582809103_1_2517_+	838	4.7e-301	3	711	34	800	0.980609418283
GH73.hmm	128	2582809165_1_1026_+	341	1.2e-33	3	128	35	163	0.9765625
GH29.hmm	346	2582809209_1_435_+	144	4.9e-39	33	162	22	144	0.372832369942
GH3.hmm	216	2582809254_1_2226_+	741	2.5e-63	3	215	99	318	0.981481481481
GH127.hmm	524	2582809288_1_1788_+	595	2e-207	1	524	31	560	0.998091603053
GH144.hmm	404	2582809305_1_1104_+	367	7e-165	2	342	24	367	0.841584158416
AA3.hmm	618	2582809321_1_1479_+	492	8.3e-45	77	399	8	489	0.521035598706
GT2_Glyco_tranf_2_3.hmm	230	2582809326_1_1161_+	386	2.6e-17	1	227	42	257	0.982608695652
CE11.hmm	271	2582809366_1_1410_+	469	1.9e-77	1	233	10	243	0.856088560886
GT28.hmm	157	2582809404_1_1098_+	365	6e-46	2	156	193	349	0.980891719745
GT35.hmm	674	2582809451_1_1686_+	561	4.3e-70	210	557	178	480	0.514836795252
CBM9.hmm	182	2582809459_1_2172_+	723	9.6e-25	1	153	39	199	0.835164835165
GT4.hmm	160	2582809473_1_1098_+	365	9.8e-30	6	157	184	334	0.94375
GH77.hmm	494	2582809512_1_2700_+	899	7.2e-154	1	489	248	893	0.987854251012
GH25.hmm	177	2582809638_1_774_+	257	2.1e-53	1	177	60	235	0.994350282486
GT30.hmm	177	2582809824_1_1242_+	413	6.5e-44	11	176	45	207	0.932203389831
GH23.hmm	135	2582809845_1_1086_+	361	1.2e-25	2	119	103	235	0.866666666667
GT51.hmm	177	2582809872_1_2391_+	796	1.1e-62	1	177	55	232	0.994350282486
GT19.hmm	354	2582809926_1_1095_+	364	2.8e-122	2	348	4	343	0.977401129944
GH144.hmm	404	2582809972_1_1647_+	548	8.6e-181	3	403	144	544	0.990099009901
AA3.hmm	618	2582810000_1_1680_+	559	1.5e-50	88	402	4	555	0.508090614887
AA3.hmm	618	2582810001_1_1371_+	456	5.2e-30	88	308	2	442	0.355987055016
GH20.hmm	337	2582810004_1_1899_+	632	8.6e-121	9	336	159	518	0.970326409496
GH109.hmm	126	2582810012_1_1299_+	432	5.3e-22	1	122	33	150	0.960317460317
CE1.hmm	227	2582810031_1_2670_+	889	3.5e-18	10	143	45	207	0.5859030837
GH65.hmm	372	2582810086_1_768_+	255	1.1e-56	110	371	2	232	0.701612903226
GH37.hmm	491	2582810093_1_1638_+	545	9.7e-170	2	489	40	541	0.991853360489
CE10.hmm	341	2582810102_1_2154_+	717	1.9e-18	81	325	470	703	0.715542521994
GH130.hmm	296	2582810151_1_1524_+	507	7.5e-55	64	294	277	502	0.777027027027
GH109.hmm	126	2582810174_1_1269_+	422	6.2e-16	4	114	45	143	0.873015873016
GH13_4.hmm	398	2582810194_1_810_+	269	1.9e-78	1	158	112	269	0.394472361809
CE14.hmm	124	2582810215_1_669_+	222	4.4e-19	1	124	5	114	0.991935483871
GT4.hmm	160	2582810216_1_1131_+	376	3e-30	11	156	206	348	0.90625
GT4.hmm	160	2582810217_1_1218_+	405	4.8e-19	8	154	233	369	0.9125
GT4.hmm	160	2582810232_1_1143_+	380	1.7e-39	5	154	194	340	0.93125
AA3.hmm	618	2582810289_1_1695_+	564	1.5e-44	86	404	4	562	0.514563106796
GH97.hmm	631	2582810304_1_2169_+	722	1.1e-244	11	630	20	705	0.980982567353
GH144.hmm	404	2582810425_1_1293_+	430	8.5e-201	2	403	24	428	0.992574257426
GH13_4.hmm	398	2582810475_1_897_+	298	1.2e-53	245	398	1	154	0.384422110553
GT2_Glyco_tranf_2_3.hmm	230	2582810490_1_1131_+	376	4.5e-24	4	228	47	272	0.973913043478
GH65.hmm	372	2582810603_1_1884_+	627	1.8e-95	1	355	305	627	0.951612903226
CE1.hmm	227	2582810643_1_588_+	195	1.1e-27	47	222	3	190	0.770925110132
GH130.hmm	296	2582810648_1_978_+	325	3.8e-84	13	285	15	324	0.918918918919
CE10.hmm	341	2582810651_1_903_+	300	7e-41	61	321	41	284	0.762463343109
GH109.hmm	126	2582810663_1_1320_+	439	5.2e-22	3	122	45	161	0.944444444444
CE4.hmm	130	2582810740_1_861_+	286	1.5e-29	4	125	119	245	0.930769230769
GT83.hmm	540	2582810744_1_1545_+	514	7.1e-22	31	373	36	353	0.633333333333
GT2_Glycos_transf_2.hmm	170	2582810758_1_744_+	247	9.8e-20	2	168	9	169	0.976470588235
GH32.hmm	293	2582810774_1_1458_+	485	7.5e-92	1	293	32	336	0.996587030717
CBM50.hmm	40	2582810794_1_372_+	123	1.9e-16	1	40	76	122	0.975
GH13.hmm	299	2582810814_1_2151_+	716	1.2e-35	15	288	410	716	0.913043478261
GT2_Glycos_transf_2.hmm	170	2582810830_1_1128_+	375	6.4e-17	1	114	48	165	0.664705882353
CE1.hmm	227	2582810832_1_777_+	258	1.4e-32	7	209	36	240	0.88986784141
CBM67.hmm	176	2582810891_1_2370_+	789	2.8e-34	1	168	32	207	0.948863636364
GH78.hmm	504	2582810891_1_2370_+	789	2.8e-118	8	500	271	766	0.97619047619
GH74.hmm	233	2582810927_1_3282_+	1093	7.3e-18	25	139	108	226	0.489270386266
GT4.hmm	160	2582811028_1_1149_+	382	8.3e-28	12	158	209	353	0.9125
GH63.hmm	570	2582811054_1_2646_+	881	4.6e-21	364	567	433	875	0.356140350877
GT2_Glycos_transf_2.hmm	170	2582811063_1_951_+	316	2.5e-33	1	168	4	167	0.982352941176
GT2_Glycos_transf_2.hmm	170	2582811106_1_867_+	288	6e-28	28	169	2	137	0.829411764706
