HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT28.hmm	157	2582636868_1_1104_+	367	4.9e-36	2	152	186	349	0.955414012739
CE10.hmm	341	2582636884_1_1431_+	476	1.6e-41	75	205	72	212	0.381231671554
GT4.hmm	160	2582636887_1_1158_+	385	1.5e-31	7	159	187	359	0.95
GT2_Glycos_transf_2.hmm	170	2582636907_1_666_+	221	1.3e-30	1	110	8	114	0.641176470588
GT4.hmm	160	2582636963_1_1227_+	408	4.3e-39	9	159	219	373	0.9375
CE1.hmm	227	2582636994_1_957_+	318	2.8e-21	25	143	80	260	0.519823788546
CE10.hmm	341	2582637002_1_912_+	303	4.8e-74	59	326	38	290	0.782991202346
AA3.hmm	618	2582637109_1_1581_+	526	9.7e-17	92	395	3	523	0.490291262136
GH109.hmm	126	2582637193_1_1134_+	377	3.7e-16	1	122	8	132	0.960317460317
GT4.hmm	160	2582637210_1_1083_+	360	8e-30	12	156	195	334	0.9
GH109.hmm	126	2582637398_1_990_+	329	9e-16	2	125	4	118	0.97619047619
GT51.hmm	177	2582637442_1_1503_+	500	3.2e-52	2	175	62	235	0.977401129944
CE14.hmm	124	2582637509_1_912_+	303	6.6e-39	1	124	8	152	0.991935483871
GT4.hmm	160	2582637655_1_1317_+	438	2.3e-36	6	157	193	343	0.94375
GT2_Glycos_transf_2.hmm	170	2582637708_1_720_+	239	8.6e-18	16	163	15	171	0.864705882353
GT2_Glycos_transf_2.hmm	170	2582637815_1_1077_+	358	6e-24	1	164	46	205	0.958823529412
GT4.hmm	160	2582637822_1_1323_+	440	4.6e-28	22	157	258	392	0.84375
GH36.hmm	688	2582637832_1_2133_+	710	4.2e-208	2	672	2	661	0.973837209302
GT2_Glycos_transf_2.hmm	170	2582637860_1_1317_+	438	7e-21	1	127	202	329	0.741176470588
GT2_Glycos_transf_2.hmm	170	2582637871_1_738_+	245	2.1e-26	5	166	3	162	0.947058823529
GT4.hmm	160	2582637980_1_1119_+	372	1.1e-27	12	157	200	342	0.90625
GH13_21.hmm	322	2582638057_1_1677_+	558	9.7e-60	3	317	184	503	0.975155279503
