HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH144.hmm	404	2582624775_1_1227_+	408	1.3e-70	6	402	5	405	0.980198019802
GH13_31.hmm	350	2582624776_1_1638_+	545	4.6e-123	1	349	32	362	0.994285714286
GH3.hmm	216	2582624778_1_2139_+	712	1.9e-63	4	215	75	295	0.976851851852
GH94.hmm	1036	2582624779_1_3285_+	1094	3e-130	52	999	126	1061	0.914092664093
GH30_1.hmm	423	2582624809_1_1344_+	447	6.3e-171	2	422	29	442	0.992907801418
GT4.hmm	160	2582624883_1_1092_+	363	2.1e-20	8	142	192	322	0.8375
CE1.hmm	227	2582624892_1_777_+	258	4.8e-35	3	222	12	253	0.964757709251
GT4.hmm	160	2582624904_1_1014_+	337	2.3e-16	9	146	160	293	0.85625
GH13_20.hmm	285	2582625006_1_1530_+	509	1.1e-67	1	284	85	374	0.99298245614
CBM41.hmm	102	2582625070_1_1821_+	606	5.4e-20	2	100	34	138	0.960784313725
GH13_13.hmm	383	2582625070_1_1821_+	606	8.2e-39	59	214	452	605	0.404699738903
GT5.hmm	472	2582625087_1_1230_+	409	1.6e-137	79	471	4	398	0.830508474576
GT4.hmm	160	2582625115_1_2199_+	732	3.2e-26	11	154	551	694	0.89375
GT2_Glycos_transf_2.hmm	170	2582625348_1_1089_+	362	6.8e-22	1	132	39	168	0.770588235294
CE10.hmm	341	2582625349_1_996_+	331	1.6e-26	59	281	63	276	0.651026392962
GT2_Glycos_transf_2.hmm	170	2582625355_1_885_+	294	5.9e-32	1	169	6	171	0.988235294118
GH13.hmm	299	2582625420_1_1290_+	429	3.8e-52	11	290	21	313	0.933110367893
GH13_13.hmm	383	2582625428_1_2793_+	930	8.4e-52	60	383	471	764	0.843342036554
GH13_31.hmm	350	2582625456_1_1710_+	569	2.7e-115	1	349	30	388	0.994285714286
GH77.hmm	494	2582625459_1_699_+	232	3.9e-60	2	233	9	226	0.467611336032
GH5_45.hmm	300	2582625476_1_1041_+	346	2.9e-52	5	299	51	316	0.98
GH13.hmm	299	2582625483_1_2130_+	709	3.2e-45	17	296	248	584	0.933110367893
GT4.hmm	160	2582625506_1_1158_+	385	1.8e-32	3	150	200	346	0.91875
GH81.hmm	622	2582625582_1_1635_+	544	1.2e-20	5	334	140	543	0.528938906752
GH144.hmm	404	2582625604_1_1362_+	453	2.8e-91	13	403	48	451	0.965346534653
CBM4.hmm	126	2582625605_1_2052_+	683	1.1e-19	3	126	55	196	0.97619047619
CBM4.hmm	126	2582625605_1_2052_+	683	5.4e-19	3	116	366	490	0.896825396825
CE10.hmm	341	2582625630_1_729_+	242	9e-25	95	318	20	212	0.653958944282
