HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT51.hmm	177	2582765672_1_2199_+	732	1.2e-46	2	160	492	654	0.892655367232
GH3.hmm	216	2582765738_1_2415_+	804	2.6e-67	8	215	124	375	0.958333333333
GH16.hmm	189	2582765771_1_594_+	197	2.5e-34	50	189	15	188	0.73544973545
GH109.hmm	126	2582765831_1_1071_+	356	4.3e-18	1	124	24	137	0.97619047619
CE11.hmm	271	2582765860_1_1410_+	469	2.7e-77	1	218	8	226	0.80073800738
GT4.hmm	160	2582765956_1_1368_+	455	6.4e-18	20	156	296	431	0.85
GT2_Glycos_transf_2.hmm	170	2582765971_1_1143_+	380	7.1e-18	1	165	57	222	0.964705882353
GT51.hmm	177	2582765997_1_2232_+	743	3.1e-52	1	177	61	239	0.994350282486
GT2_Glycos_transf_2.hmm	170	2582766042_1_1950_+	649	1.7e-22	1	169	6	191	0.988235294118
GH13.hmm	299	2582766059_1_2643_+	880	1.5e-51	5	296	378	725	0.973244147157
AA4.hmm	522	2582766147_1_1392_+	463	1.3e-27	43	260	31	241	0.415708812261
GH23.hmm	135	2582766155_1_1245_+	414	1.4e-21	2	122	97	233	0.888888888889
GH2.hmm	752	2582766167_1_1818_+	605	3e-41	71	369	126	586	0.396276595745
GH92.hmm	491	2582766169_1_3618_+	1205	1.5e-154	16	455	285	764	0.894093686354
GT2_Glycos_transf_2.hmm	170	2582766198_1_951_+	316	2.8e-31	1	165	9	168	0.964705882353
GT9.hmm	225	2582766228_1_936_+	311	1.7e-26	10	216	54	285	0.915555555556
GH13.hmm	299	2582766252_1_2832_+	943	8.6e-37	11	288	396	706	0.926421404682
CE1.hmm	227	2582766300_1_2400_+	799	7.7e-16	3	207	557	776	0.898678414097
GT2_Glycos_transf_2.hmm	170	2582766352_1_720_+	239	1.2e-32	1	166	7	174	0.970588235294
GH13.hmm	299	2582766373_1_1425_+	474	4.8e-49	7	290	58	349	0.946488294314
GH37.hmm	491	2582766375_1_1383_+	460	6.7e-80	98	459	32	458	0.735234215886
CE14.hmm	124	2582766424_1_729_+	242	1.8e-21	1	124	10	115	0.991935483871
GH73.hmm	128	2582766438_1_1296_+	431	1.2e-31	5	128	72	198	0.9609375
GT4.hmm	160	2582766501_1_1254_+	417	3.6e-26	11	149	231	376	0.8625
GT2_Glycos_transf_2.hmm	170	2582766505_1_819_+	272	6.8e-18	1	104	8	101	0.605882352941
CE4.hmm	130	2582766561_1_684_+	227	9.7e-31	5	125	34	162	0.923076923077
GT21.hmm	233	2582766562_1_1197_+	398	6.4e-24	3	230	50	283	0.974248927039
CE10.hmm	341	2582766566_1_2124_+	707	5.1e-18	80	309	469	686	0.671554252199
GH13.hmm	299	2582766576_1_1896_+	631	3.3e-56	13	296	181	499	0.946488294314
GT4.hmm	160	2582766749_1_1128_+	375	4.3e-39	6	156	195	342	0.9375
