HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2_Glycos_transf_2.hmm	170	2582770134_1_747_+	248	1.5e-27	1	138	4	138	0.805882352941
GT2_Glycos_transf_2.hmm	170	2582770264_1_1011_+	336	1e-20	1	128	6	130	0.747058823529
GH5.hmm	275	2582770341_1_1380_+	459	8.8e-17	38	254	71	310	0.785454545455
GH3.hmm	216	2582770346_1_2235_+	744	1.3e-69	2	216	109	338	0.990740740741
GT2_Glycos_transf_2.hmm	170	2582770446_1_957_+	318	3.6e-31	1	168	4	167	0.982352941176
GT4.hmm	160	2582770447_1_1137_+	378	3.4e-19	6	153	199	347	0.91875
GT83.hmm	540	2582770485_1_1494_+	497	2.4e-18	5	359	5	360	0.655555555556
GT5.hmm	472	2582770491_1_816_+	271	2.5e-49	1	212	7	229	0.447033898305
GT2_Glycos_transf_2.hmm	170	2582770523_1_726_+	241	1.6e-27	2	169	6	173	0.982352941176
GT30.hmm	177	2582770551_1_1272_+	423	8e-35	5	176	39	208	0.966101694915
CE14.hmm	124	2582770568_1_714_+	237	1e-23	1	124	5	110	0.991935483871
GT51.hmm	177	2582770572_1_693_+	230	2.5e-49	11	176	57	219	0.932203389831
GT2_Glycos_transf_2.hmm	170	2582770587_1_1929_+	642	2.2e-23	1	133	4	151	0.776470588235
GT2_Glycos_transf_2.hmm	170	2582770593_1_1131_+	376	2e-21	1	131	43	173	0.764705882353
GH13.hmm	299	2582770672_1_2763_+	920	4.4e-40	15	289	396	701	0.916387959866
GH13.hmm	299	2582770674_1_1860_+	619	1.6e-58	13	293	161	477	0.936454849498
GT2_Glycos_transf_2.hmm	170	2582770762_1_735_+	244	2.7e-16	2	138	6	143	0.8
GT9.hmm	225	2582770778_1_978_+	325	1.9e-40	4	221	64	304	0.964444444444
GT83.hmm	540	2582770791_1_1467_+	488	1.5e-45	10	339	15	356	0.609259259259
GH109.hmm	126	2582770826_1_1011_+	336	2.4e-19	1	126	2	118	0.992063492063
GT2_Glycos_transf_2.hmm	170	2582770866_1_1170_+	389	2.5e-18	1	127	66	195	0.741176470588
CE10.hmm	341	2582770915_1_1323_+	440	6.7e-22	59	188	40	195	0.378299120235
GH81.hmm	622	2582770949_1_4287_+	1428	1e-109	13	607	60	671	0.95498392283
CBM6.hmm	138	2582770949_1_4287_+	1428	2.7e-23	7	138	864	996	0.949275362319
GH92.hmm	491	2582770989_1_2874_+	957	4.5e-164	4	489	217	697	0.987780040733
CE10.hmm	341	2582770992_1_2130_+	709	9.1e-18	78	309	469	688	0.677419354839
GT4.hmm	160	2582770994_1_1083_+	360	2e-31	7	156	182	329	0.93125
CE10.hmm	341	2582771004_1_771_+	256	6.6e-17	94	289	7	211	0.571847507331
GT2_Glycos_transf_2.hmm	170	2582771021_1_762_+	253	3.9e-19	1	119	5	113	0.694117647059
GT2_Glycos_transf_2.hmm	170	2582771042_1_762_+	253	8.7e-22	1	131	6	133	0.764705882353
GT4.hmm	160	2582771067_1_1143_+	380	3.1e-38	5	154	194	340	0.93125
GH16.hmm	189	2582771097_1_1659_+	552	2.1e-24	3	189	94	364	0.984126984127
GT2_Glycos_transf_2.hmm	170	2582771133_1_945_+	314	3.4e-31	1	165	8	167	0.964705882353
CE11.hmm	271	2582771168_1_1446_+	481	2.2e-95	1	270	8	302	0.992619926199
GT4.hmm	160	2582771217_1_1146_+	381	2e-23	4	153	202	349	0.93125
GT4.hmm	160	2582771219_1_1116_+	371	9.3e-28	8	148	196	330	0.875
GT4.hmm	160	2582771220_1_1062_+	353	1.2e-21	10	156	181	322	0.9125
GH73.hmm	128	2582771356_1_1455_+	484	2.6e-33	4	128	26	153	0.96875
AA4.hmm	522	2582771428_1_1446_+	481	2.1e-25	9	257	20	257	0.475095785441
GH3.hmm	216	2582771429_1_2895_+	964	8.8e-58	4	215	95	321	0.976851851852
CE1.hmm	227	2582771540_1_978_+	325	1.7e-18	9	221	51	320	0.933920704846
CE4.hmm	130	2582771695_1_552_+	183	3.4e-24	6	125	3	118	0.915384615385
GT21.hmm	233	2582771696_1_1101_+	366	2.9e-24	1	230	40	268	0.982832618026
GT19.hmm	354	2582771759_1_1107_+	368	4.3e-116	3	352	5	348	0.985875706215
CE10.hmm	341	2582771772_1_756_+	251	5.1e-22	83	313	16	233	0.674486803519
GT51.hmm	177	2582771848_1_1827_+	608	4e-44	10	168	386	547	0.892655367232
GH65.hmm	372	2582771894_1_1101_+	366	5.8e-109	82	371	1	296	0.77688172043
GH13.hmm	299	2582771895_1_2382_+	793	2.1e-51	12	297	337	679	0.953177257525
GH13.hmm	299	2582771896_1_1377_+	458	2.9e-54	7	290	39	347	0.946488294314
GH16.hmm	189	2582771942_1_891_+	296	3.1e-36	3	189	64	292	0.984126984127
