HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2_Glycos_transf_2.hmm	170	2582784223_1_750_+	249	1.9e-27	2	166	5	169	0.964705882353
GH1.hmm	429	2582784253_1_1401_+	466	1.8e-139	3	425	21	461	0.983682983683
GT9.hmm	225	2582784269_1_1008_+	335	6.5e-44	3	221	70	315	0.968888888889
GT2_Glycos_transf_2.hmm	170	2582784298_1_711_+	236	5e-37	1	168	6	173	0.982352941176
GT2_Glyco_tranf_2_3.hmm	230	2582784300_1_948_+	315	4.8e-19	4	221	4	231	0.94347826087
GT2_Glycos_transf_2.hmm	170	2582784301_1_942_+	313	8.9e-18	2	131	16	144	0.758823529412
GT19.hmm	354	2582784380_1_1179_+	392	6.4e-121	2	352	6	361	0.988700564972
GH53.hmm	342	2582784396_1_1020_+	339	2.4e-107	2	337	36	333	0.979532163743
CE1.hmm	227	2582784401_1_921_+	306	3.4e-46	7	217	41	296	0.925110132159
GT28.hmm	157	2582784485_1_1119_+	372	2.7e-48	2	157	205	361	0.987261146497
GH73.hmm	128	2582784574_1_1011_+	336	1.1e-33	3	128	35	163	0.9765625
GH65.hmm	372	2582784593_1_2037_+	678	6.5e-102	3	371	309	645	0.989247311828
GH13_4.hmm	398	2582784600_1_1944_+	647	2.8e-175	1	398	105	504	0.997487437186
GH109.hmm	126	2582784642_1_1329_+	442	2.8e-22	1	120	41	158	0.944444444444
GT2_Glycos_transf_2.hmm	170	2582784683_1_1170_+	389	7.7e-25	1	169	47	221	0.988235294118
CE10.hmm	341	2582784692_1_2157_+	718	1.8e-19	90	336	480	715	0.721407624633
GH29.hmm	346	2582784726_1_1320_+	439	6.8e-99	24	346	17	355	0.93063583815
GH109.hmm	126	2582784763_1_1392_+	463	4.7e-44	1	125	39	163	0.984126984127
GH29.hmm	346	2582784812_1_1434_+	477	2.9e-79	40	334	30	332	0.849710982659
GT5.hmm	472	2582784828_1_819_+	272	5.3e-46	1	211	6	227	0.444915254237
GH109.hmm	126	2582784854_1_1269_+	422	6.5e-18	4	113	45	142	0.865079365079
GT9.hmm	225	2582784879_1_993_+	330	9.1e-44	4	221	64	308	0.964444444444
AA3.hmm	618	2582784906_1_1716_+	571	1.2e-48	82	401	10	566	0.516181229773
GT2_Glycos_transf_2.hmm	170	2582784927_1_921_+	306	6.6e-31	1	133	9	150	0.776470588235
GT46.hmm	356	2582784930_1_987_+	328	1.3e-63	4	275	5	265	0.761235955056
GT9.hmm	225	2582784932_1_1143_+	380	4.5e-36	2	201	100	332	0.884444444444
AA3.hmm	618	2582784936_1_1680_+	559	1.7e-55	87	404	3	557	0.512944983819
PL6.hmm	372	2582784965_1_2268_+	755	6.4e-126	2	370	24	394	0.989247311828
CE10.hmm	341	2582784975_1_1005_+	334	3.5e-22	84	310	101	312	0.66275659824
GH88.hmm	329	2582785011_1_1212_+	403	2.4e-126	3	329	72	395	0.990881458967
GH20.hmm	337	2582785028_1_1923_+	640	8.5e-116	8	336	157	520	0.973293768546
CE14.hmm	124	2582785068_1_729_+	242	7.8e-24	1	124	6	111	0.991935483871
GH32.hmm	293	2582785087_1_1557_+	518	3.6e-101	1	293	42	357	0.996587030717
CE1.hmm	227	2582785091_1_825_+	274	9.2e-52	1	217	30	257	0.95154185022
GT83.hmm	540	2582785096_1_1674_+	557	1.3e-76	5	429	2	436	0.785185185185
GH29.hmm	346	2582785137_1_1434_+	477	2.3e-79	40	335	30	333	0.852601156069
GH109.hmm	126	2582785153_1_1398_+	465	1.8e-21	1	123	52	166	0.968253968254
GT2_Glycos_transf_2.hmm	170	2582785162_1_750_+	249	9.1e-19	2	169	9	171	0.982352941176
GT83.hmm	540	2582785163_1_1704_+	567	8.1e-78	11	434	11	441	0.783333333333
CE10.hmm	341	2582785200_1_885_+	294	1.7e-22	69	315	44	278	0.721407624633
GH13.hmm	299	2582785208_1_1263_+	420	2e-51	12	287	26	298	0.919732441472
GT51.hmm	177	2582785224_1_2421_+	806	9.7e-58	1	177	55	233	0.994350282486
GH20.hmm	337	2582785240_1_1923_+	640	8.5e-116	8	336	157	520	0.973293768546
GT2_Glyco_tranf_2_3.hmm	230	2582785279_1_1191_+	396	9.7e-20	1	209	48	251	0.904347826087
GT2_Glycos_transf_2.hmm	170	2582785336_1_909_+	302	7.6e-30	1	166	4	162	0.970588235294
GT2_Glycos_transf_2.hmm	170	2582785337_1_942_+	313	1.3e-27	1	161	10	163	0.941176470588
GT4.hmm	160	2582785338_1_1062_+	353	2.9e-25	7	152	179	320	0.90625
GT2_Glycos_transf_2.hmm	170	2582785356_1_942_+	313	2.6e-27	1	157	11	162	0.917647058824
GH9.hmm	418	2582785362_1_2496_+	831	1.6e-74	2	418	116	584	0.995215311005
GT5.hmm	472	2582785399_1_819_+	272	5.3e-46	1	211	6	227	0.444915254237
GT2_Glycos_transf_2.hmm	170	2582785440_1_1029_+	342	1.7e-24	2	161	9	176	0.935294117647
GH3.hmm	216	2582785572_1_2973_+	990	6.5e-59	6	215	100	324	0.967592592593
AA3.hmm	618	2582785647_1_1713_+	570	1.9e-41	86	402	13	566	0.511326860841
AA3.hmm	618	2582785650_1_1716_+	571	1.2e-48	82	401	10	566	0.516181229773
GH1.hmm	429	2582785659_1_1401_+	466	1.8e-139	3	425	21	461	0.983682983683
GT35.hmm	674	2582785698_1_1653_+	550	4.2e-68	210	584	177	504	0.554896142433
AA3_2.hmm	570	2582785712_1_1710_+	569	5.2e-116	4	567	39	568	0.987719298246
GH77.hmm	494	2582785713_1_2841_+	946	7.1e-146	1	489	295	941	0.987854251012
GT51.hmm	177	2582785787_1_2421_+	806	1.2e-45	19	176	71	228	0.887005649718
GH109.hmm	126	2582785855_1_1332_+	443	6.2e-24	2	118	43	157	0.920634920635
GH16.hmm	189	2582785946_1_1032_+	343	5.5e-54	2	189	119	342	0.989417989418
GH9.hmm	418	2582785947_1_1785_+	594	8.5e-104	7	416	127	578	0.978468899522
GH3.hmm	216	2582785951_1_1965_+	654	9.9e-55	2	214	158	410	0.981481481481
GH20.hmm	337	2582785966_1_2160_+	719	3.6e-104	8	336	154	518	0.973293768546
GH43_1.hmm	310	2582785994_1_1143_+	380	6.3e-162	1	310	65	373	0.996774193548
GH23.hmm	135	2582786078_1_1053_+	350	3.5e-23	2	118	103	233	0.859259259259
GH20.hmm	337	2582786083_1_1596_+	531	3.8e-130	9	336	149	497	0.970326409496
CE11.hmm	271	2582786149_1_1410_+	469	4.4e-75	1	234	10	244	0.859778597786
GH32.hmm	293	2582786177_1_1557_+	518	3.6e-101	1	293	42	357	0.996587030717
GH13_9.hmm	291	2582786204_1_2013_+	670	2.8e-130	1	290	221	521	0.993127147766
GH13.hmm	299	2582786205_1_1875_+	624	5.7e-58	13	297	166	494	0.94983277592
GT5.hmm	472	2582786208_1_1407_+	468	3.1e-143	2	471	3	468	0.993644067797
CBM9.hmm	182	2582786265_1_2226_+	741	8.5e-17	2	159	48	208	0.862637362637
GT4.hmm	160	2582786275_1_1140_+	379	3.9e-39	6	157	196	344	0.94375
CE10.hmm	341	2582786289_1_885_+	294	2.7e-32	86	314	51	273	0.66862170088
GT30.hmm	177	2582786375_1_1257_+	418	8.8e-43	9	176	36	206	0.943502824859
GH109.hmm	126	2582786405_1_1446_+	481	1.6e-16	1	119	48	175	0.936507936508
GH92.hmm	491	2582786490_1_2160_+	719	1.6e-173	13	485	240	717	0.961303462322
