HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT9.hmm	225	2583020844_1_1008_+	335	2.4e-39	8	220	72	312	0.942222222222
GT83.hmm	540	2583020928_1_1719_+	572	2.1e-47	4	363	5	363	0.664814814815
GT22.hmm	389	2583021011_1_1539_+	512	2.1e-41	5	362	21	393	0.917737789203
GT9.hmm	225	2583021062_1_984_+	327	6.4e-43	3	221	70	312	0.968888888889
GH133.hmm	372	2583021115_1_1986_+	661	6.1e-112	9	372	288	638	0.975806451613
GT51.hmm	177	2583021134_1_2349_+	782	6.5e-45	17	176	65	224	0.898305084746
GH13_8.hmm	274	2583021157_1_2028_+	675	4.3e-110	1	274	227	517	0.996350364964
GH13.hmm	299	2583021158_1_2397_+	798	1.2e-48	5	296	337	683	0.973244147157
GH13.hmm	299	2583021159_1_621_+	206	5.4e-29	12	154	63	206	0.47491638796
GT2_Glycos_transf_2.hmm	170	2583021173_1_1968_+	655	7.4e-26	1	169	4	189	0.988235294118
GH3.hmm	216	2583021209_1_2949_+	982	9.7e-58	6	215	105	329	0.967592592593
GT2_Glycos_transf_2.hmm	170	2583021242_1_1209_+	402	6.5e-24	1	118	17	129	0.688235294118
GT4.hmm	160	2583021282_1_1170_+	389	9.6e-21	7	153	202	349	0.9125
GT2_Glycos_transf_2.hmm	170	2583021283_1_939_+	312	4.2e-30	1	133	4	140	0.776470588235
CE10.hmm	341	2583021301_1_942_+	313	1.1e-77	69	335	52	308	0.780058651026
GH23.hmm	135	2583021307_1_1005_+	334	4.1e-20	3	124	97	230	0.896296296296
GT51.hmm	177	2583021312_1_1941_+	646	1.5e-45	10	156	429	577	0.824858757062
GH92.hmm	491	2583021442_1_2742_+	913	4.2e-205	3	491	232	719	0.993890020367
GH92.hmm	491	2583021525_471_2300_+	609	1.4e-185	3	491	102	594	0.993890020367
GH108.hmm	86	2583021620_1_525_+	174	6.7e-24	4	86	10	98	0.953488372093
GT4.hmm	160	2583021716_1_1308_+	435	1.2e-20	8	156	241	397	0.925
GH38.hmm	269	2583021771_1_1752_+	583	8e-39	21	188	61	226	0.620817843866
GT30.hmm	177	2583021787_1_1245_+	414	3.4e-43	10	176	48	210	0.937853107345
GT2_Glycos_transf_2.hmm	170	2583021800_1_945_+	314	1.3e-28	1	132	10	144	0.770588235294
GH23.hmm	135	2583021841_1_1623_+	540	2.5e-26	2	122	130	266	0.888888888889
GT2_Glycos_transf_2.hmm	170	2583021952_1_912_+	303	1.6e-25	1	133	12	148	0.776470588235
GT2_Glyco_tranf_2_3.hmm	230	2583021953_1_1218_+	405	2.9e-32	3	228	49	267	0.978260869565
GT4.hmm	160	2583021954_1_1140_+	379	7.2e-31	10	158	201	349	0.925
GT2_Glycos_transf_2.hmm	170	2583021956_1_831_+	276	1.1e-19	1	160	46	197	0.935294117647
GT2_Glycos_transf_2.hmm	170	2583021959_1_1011_+	336	1.7e-42	1	168	6	170	0.982352941176
GT8.hmm	257	2583021960_1_939_+	312	4.5e-48	31	252	8	244	0.859922178988
GT2_Glyco_tranf_2_3.hmm	230	2583021961_1_1221_+	406	9.2e-25	1	228	50	267	0.986956521739
GH20.hmm	337	2583021979_1_2349_+	782	2.3e-127	9	336	162	515	0.970326409496
CBM9.hmm	182	2583022056_1_2595_+	864	1.9e-17	1	180	84	268	0.983516483516
GT2_Glycos_transf_2.hmm	170	2583022061_1_738_+	245	3.2e-28	2	166	6	175	0.964705882353
CE11.hmm	271	2583022091_1_1392_+	463	1.1e-71	1	221	5	226	0.811808118081
GT4.hmm	160	2583022101_1_1131_+	376	1.6e-31	9	158	196	345	0.93125
GT2_Glycos_transf_2.hmm	170	2583022108_1_954_+	317	3.7e-19	2	167	6	168	0.970588235294
GT2_Glycos_transf_2.hmm	170	2583022112_1_735_+	244	6.8e-32	1	169	7	177	0.988235294118
GT51.hmm	177	2583022154_1_2262_+	753	6.1e-65	1	177	67	247	0.994350282486
GT3.hmm	637	2583022192_1_840_+	279	1.1e-99	1	276	8	278	0.431711145997
GH57.hmm	383	2583022193_1_1668_+	555	8.5e-64	2	309	6	323	0.801566579634
GT4.hmm	160	2583022194_1_366_+	121	1.8e-20	67	155	3	88	0.55
GT27.hmm	295	2583022197_1_1023_+	340	9e-22	2	225	6	222	0.75593220339
GT35.hmm	674	2583022211_1_2577_+	858	3.5e-115	210	555	277	659	0.511869436202
GH2.hmm	752	2583022220_1_2256_+	751	4.4e-90	25	504	25	677	0.636968085106
GT2_Glycos_transf_2.hmm	170	2583022384_1_1095_+	364	3.3e-22	1	169	29	199	0.988235294118
GT4.hmm	160	2583022385_1_1098_+	365	7e-22	10	143	189	323	0.83125
CE4.hmm	130	2583022472_1_777_+	258	1.6e-33	4	124	63	186	0.923076923077
GH26.hmm	303	2583022510_1_1188_+	395	6.5e-26	128	255	181	329	0.419141914191
GT2_Glyco_tranf_2_3.hmm	230	2583022511_1_1578_+	525	8.4e-19	38	230	119	301	0.834782608696
GT9.hmm	225	2583022535_1_1013_+	336	2.6e-37	12	216	78	315	0.906666666667
GT2_Glycos_transf_2.hmm	170	2583022538_1_747_+	248	1.8e-21	1	132	5	126	0.770588235294
CE4.hmm	130	2583022539_1_813_+	270	8.8e-23	5	113	84	209	0.830769230769
GH43.hmm	248	2583022770_1_1260_+	419	1.2e-44	11	245	128	411	0.943548387097
GH43.hmm	248	2583022771_1_759_+	252	6e-36	8	158	75	249	0.604838709677
GT22.hmm	389	2583022781_1_1413_+	470	4.9e-50	4	343	66	419	0.87146529563
