HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT4.hmm	160	2582668232_1_1143_+	380	1.3e-29	5	155	199	344	0.9375
GT4.hmm	160	2582668275_1_1074_+	357	1.1e-31	6	147	169	306	0.88125
GH73.hmm	128	2582668324_1_1191_+	396	8e-17	5	125	269	388	0.9375
GH116.hmm	363	2582668355_1_1359_+	452	4e-152	1	363	71	446	0.997245179063
GT2_Glyco_tranf_2_3.hmm	230	2582668436_1_2859_+	952	4.4e-29	3	229	49	277	0.982608695652
GT2_Glyco_tranf_2_3.hmm	230	2582668464_1_906_+	301	5e-16	4	229	3	220	0.978260869565
GH1.hmm	429	2582668481_1_1266_+	421	1.2e-114	1	428	1	414	0.995337995338
GT4.hmm	160	2582668482_1_1188_+	395	1.3e-21	4	116	219	330	0.7
GT51.hmm	177	2582668531_1_2280_+	759	1.2e-63	3	177	78	252	0.983050847458
GT4.hmm	160	2582668577_1_1167_+	388	8.9e-25	10	157	201	354	0.91875
GT28.hmm	157	2582668591_1_1119_+	372	2.6e-32	2	144	198	351	0.904458598726
GT5.hmm	472	2582668629_1_1515_+	504	2.7e-160	1	472	8	490	0.997881355932
GH57.hmm	383	2582668630_1_1548_+	515	8.5e-42	4	309	7	292	0.79634464752
GT5.hmm	472	2582668632_1_858_+	285	2.1e-102	194	472	8	281	0.588983050847
GT4.hmm	160	2582668724_1_1155_+	384	8.4e-37	8	152	191	333	0.9
GT4.hmm	160	2582668794_1_1194_+	397	1.6e-27	5	150	230	366	0.90625
GT4.hmm	160	2582668845_1_1518_+	505	3.2e-24	2	156	198	353	0.9625
