Domain,Phylum,No. Of Genomes,No. Of Hits 30%+,No. Of Hits 60%+,No. Of Hits 90%+
Bacteria,Acidobacteria,48,30666,7629,94
Bacteria,Actinobacteria,5036,559829,241756,33873
Bacteria,Aquificae,24,5673,688,1
Bacteria,Bacteroidetes,1525,908235,385306,35770
Bacteria,Caldiserica,2,269,27, 
Bacteria,Candidatus Poribacteria,5,5951,975, 
Bacteria,Candidatus Saccharibacteria,29,757,228,11
Bacteria,Chlamydiae,220,11994,3064,60
Bacteria,Chlorobi,23,16811,4990,104
Bacteria,Chloroflexi,93,45271,13209,413
Bacteria,Cyanobacteria,390,321448,180472,34935
Bacteria,Deferribacteres,24,2835,557,10
Bacteria,Deinococcus-Thermus,70,16402,3319,11
Bacteria,Dictyoglomi,2,1077,90, 
Bacteria,Elusimicrobia,5,492,67, 
Bacteria,Fibrobacteres,5,760,132, 
Bacteria,Firmicutes,11966,178562,20067,145
Bacteria,Fusobacteria,111,7209,473,3
Bacteria,Gemmatimonadetes,19,16780,11259,1207
Bacteria,Ignavibacteriae,4,9897,2298,19
Bacteria,Lentisphaerae,2,5125,784,3
Bacteria,Microgenomates,11,168,11, 
Bacteria,Nitrospirae,24,5067,1063,17
Bacteria,Planctomycetes,72,279490,91776,935
Bacteria,Poribacteria,1,492,80,1
Bacteria,Proteobacteria,18402,1321895,555829,60082
Bacteria,Spirochaetes,533,25060,3947,52
Bacteria,Synergistetes,23,3790,696,5
Bacteria,Tenericutes,293,5636,380,2
Bacteria,Thermodesulfobacteria,8,2515,407,2
Bacteria,Thermotogae,44,4094,383,3
Bacteria,Verrucomicrobia,78,187930,72530,1683
Bacteria,candidate division SR1,1,329,59,1
Bacteria,unclassified,469,13434,5338,214
-,Unassigned,-,4207989,7066782,8615805
