2582974894	GH42.hmm	4.3e-117	2	370	15	400		0.991913746630728
2582974895	GH2.hmm	5.1e-45	449	751	6	330		0.401595744680851
2582974926	CE4.hmm	1.2e-19	9	126	43	159		0.9
2582974929	CE1.hmm	2.1e-17	24	222	42	252		0.872246696035242
2582974939	GH2.hmm	3.1e-136	12	464	8	579		0.601063829787234
2582974970	AA3.hmm	5.2e-105	87	404	2	537		0.51294498381877
2582974999	GH3.hmm	1.5e-64	3	216	115	337		0.986111111111111
2582975021	GH25.hmm	4.4e-25	2	172	44	260		0.96045197740113
2582975036	GT28.hmm	9.2e-35	1	145	192	333		0.917197452229299
2582975054	GH18.hmm	1.5e-42	52	282	131	422		0.777027027027027
2582975081	CE1.hmm	5.3e-07	29	143	14	146		0.502202643171806
2582975117	GH109.hmm	1.1e-11	57	120	50	113		0.5
2582975128	CE10.hmm	2.3e-07	170	332	44	222		0.475073313782991
2582975136	GT2.hmm	7.3e-09	1	59	18	77		0.345238095238095
2582975145	GT4.hmm	1.9e-08	5	145	196	344		0.875
2582975194	GH105.hmm	3.7e-35	117	330	153	359		0.641566265060241
2582975291	GT4.hmm	2e-42	7	159	194	353		0.95
2582975313	GH23.hmm	0.00078	16	79	114	177		0.466666666666667
2582975325	GT4.hmm	1.2e-38	7	157	222	381		0.9375
2582975383	GT2.hmm	5.5e-14	1	164	26	192		0.970238095238095
2582975390	CE14.hmm	3.7e-31	1	117	13	120		0.935483870967742
2582975446	GT2.hmm	3.5e-10	3	167	24	198		0.976190476190476
2582975453	CE14.hmm	3.4e-44	1	124	10	150		0.991935483870968
2582975465	GH25.hmm	5e-32	2	172	40	258		0.96045197740113
2582975470	AA3.hmm	1.7e-56	88	400	163	696		0.504854368932039
2582975479	GT4.hmm	6.4e-21	10	157	201	347		0.91875
2582975480	GT4.hmm	1e-26	7	156	199	336		0.93125
2582975526	GT2.hmm	2.4e-22	2	162	8	164		0.952380952380952
2582975556	CBM44.hmm	4.5e-08	22	56	153	194		0.53125
2582975564	CBM50.hmm	5.5e-08	2	40	53	100		0.95
2582975573	AA2.hmm	4e-17	14	115	34	136		0.396078431372549
2582975573	AA2.hmm	4.2e-06	160	251	253	362		0.356862745098039
2582975573	AA2.hmm	3e-09	20	118	412	523		0.384313725490196
2582975577	GH1.hmm	4.4e-160	3	428	2	464		0.990675990675991
2582975585	CE1.hmm	4e-30	26	223	1	211		0.86784140969163
2582975637	GT4.hmm	0.00012	92	145	16	67		0.33125
2582975642	GT4.hmm	3.3e-10	10	157	249	397		0.91875
2582975645	GT39.hmm	2.2e-64	4	223	20	238		0.982062780269058
2582975661	AA3.hmm	1.3e-49	85	405	5	530		0.517799352750809
2582975688	GH51.hmm	2.3e-133	82	543	2	499		0.731746031746032
2582975702	CE1.hmm	4.5e-08	11	143	136	274		0.581497797356828
2582975767	GT2.hmm	9.8e-05	54	121	70	136		0.398809523809524
2582975780	GH36.hmm	5.6e-56	2	293	7	280		0.42296511627907
2582975812	CE1.hmm	2.5e-08	17	207	134	329		0.837004405286344
2582975921	GT28.hmm	3.9e-35	1	145	87	228		0.917197452229299
2582976032	GH109.hmm	9e-06	65	122	58	114		0.452380952380952
2582976056	CE7.hmm	3.5e-07	62	208	9	139		0.466453674121406
2582976058	GH13_30.hmm	1.3e-157	1	369	35	400		0.997289972899729
2582976064	GH109.hmm	3.7e-10	3	118	7	111		0.912698412698413
2582976065	CE1.hmm	1.9e-06	29	175	23	171		0.643171806167401
2582976066	CE7.hmm	2.2e-118	3	313	5	317		0.990415335463259
2582976069	GT4.hmm	1e-23	6	128	192	314		0.7625
